interaction_id,content,created_at,interaction_type,annonce_id,user_id
50030,,2024-12-30 13:29:53.661,Contact_user,5768,12389
50031,,2024-12-30 13:29:53.701026,Click_annonce,6105,12389
50032,,2024-12-30 13:29:53.737372,Contact_user,5208,12389
50033,,2024-12-30 13:29:53.769032,Contact_user,5343,12389
50034,moto custom,2024-12-30 13:29:53.801102,Search,4907,12389
50035,,2024-12-30 13:29:53.833047,Contact_user,5858,12389
50036,,2024-12-30 13:29:53.864778,Click_annonce,6147,12389
50037,citadine électrique,2024-12-30 13:29:53.896671,Search,5714,12389
50038,,2024-12-30 13:29:53.928217,Click_annonce,4915,12389
50039,,2024-12-30 13:29:53.95949,Contact_user,6267,12390
50040,,2024-12-30 13:29:53.991405,Click_annonce,6143,12391
50041,voiture boite auto,2024-12-30 13:29:54.023025,Search,5599,12391
50042,,2024-12-30 13:29:54.054986,Contact_user,5892,12391
50043,voiture propre,2024-12-30 13:29:54.135538,Search,5291,12391
50044,voiture neuve,2024-12-30 13:29:54.167,Search,5095,12391
50045,,2024-12-30 13:29:54.199361,Click_annonce,5795,12391
50046,voiture occasion,2024-12-30 13:29:54.237249,Search,5891,12391
50047,,2024-12-30 13:29:54.268701,Contact_user,5991,12391
50048,,2024-12-30 13:29:54.300524,Click_annonce,5759,12391
50049,,2024-12-30 13:29:54.333499,Click_annonce,4883,12391
50050,,2024-12-30 13:29:54.364736,Contact_user,6037,12391
50051,utilitaire frigorifique,2024-12-30 13:29:54.396272,Search,6004,12391
50052,,2024-12-30 13:29:54.429235,Contact_user,5337,12391
50053,,2024-12-30 13:29:54.46139,Contact_user,5397,12391
50054,,2024-12-30 13:29:54.493067,Click_annonce,5840,12391
50055,,2024-12-30 13:29:54.52702,Click_annonce,6136,12391
50056,,2024-12-30 13:29:54.558867,Click_annonce,5416,12391
50057,,2024-12-30 13:29:54.590202,Contact_user,5930,12391
50058,,2024-12-30 13:29:54.621741,Click_annonce,5086,12391
50059,,2024-12-30 13:29:54.658059,Contact_user,5683,12391
50060,,2024-12-30 13:29:54.689914,Contact_user,5081,12392
50061,,2024-12-30 13:29:54.722362,Contact_user,5333,12392
50062,,2024-12-30 13:29:54.753734,Click_annonce,5232,12392
50063,,2024-12-30 13:29:54.785539,Contact_user,5943,12392
50064,,2024-12-30 13:29:54.817558,Click_annonce,6226,12392
50065,,2024-12-30 13:29:54.848639,Click_annonce,6128,12392
50066,,2024-12-30 13:29:54.880374,Click_annonce,5693,12392
50067,,2024-12-30 13:29:54.91468,Click_annonce,5292,12392
50068,voiture neuve,2024-12-30 13:29:54.946358,Search,5938,12393
50069,moto permis A2,2024-12-30 13:29:54.978073,Search,5109,12393
50070,,2024-12-30 13:29:55.009482,Contact_user,5402,12393
50071,véhicule commercial,2024-12-30 13:29:55.041462,Search,5088,12393
50072,,2024-12-30 13:29:55.07287,Contact_user,6072,12393
50073,voiture boite auto,2024-12-30 13:29:55.104212,Search,5283,12393
50074,quad,2024-12-30 13:29:55.136162,Search,5126,12393
50075,moto petit budget,2024-12-30 13:29:55.167647,Search,5187,12393
50076,,2024-12-30 13:29:55.199114,Contact_user,5288,12393
50077,moto sportive,2024-12-30 13:29:55.231639,Search,5840,12393
50078,,2024-12-30 13:29:55.263317,Click_annonce,5679,12393
50079,,2024-12-30 13:29:55.295188,Click_annonce,5315,12393
50080,,2024-12-30 13:29:55.376536,Contact_user,5164,12393
50081,,2024-12-30 13:29:55.407691,Contact_user,5675,12393
50082,camping car,2024-12-30 13:29:55.439833,Search,5353,12393
50083,citadine essence,2024-12-30 13:29:55.474293,Search,5585,12393
50084,,2024-12-30 13:29:55.505987,Contact_user,6030,12393
50085,,2024-12-30 13:29:55.537344,Contact_user,6202,12393
50086,,2024-12-30 13:29:55.568656,Click_annonce,4922,12393
50087,,2024-12-30 13:29:55.600102,Click_annonce,5529,12393
50088,scooter 125,2024-12-30 13:29:55.631665,Search,6269,12394
50089,4x4 essence,2024-12-30 13:29:55.663101,Search,5390,12394
50090,,2024-12-30 13:29:55.694581,Contact_user,6178,12394
50091,voiture pas cher,2024-12-30 13:29:55.726497,Search,5403,12394
50092,,2024-12-30 13:29:55.757886,Contact_user,5159,12394
50093,,2024-12-30 13:29:55.789661,Click_annonce,5488,12394
50094,,2024-12-30 13:29:55.821659,Contact_user,5067,12394
50095,,2024-12-30 13:29:55.853862,Contact_user,6247,12394
50096,cabriolet,2024-12-30 13:29:55.885471,Search,5193,12394
50097,,2024-12-30 13:29:55.917921,Contact_user,5293,12394
50098,SUV familial,2024-12-30 13:29:55.949168,Search,5149,12394
50099,,2024-12-30 13:29:55.980734,Contact_user,6068,12394
50100,,2024-12-30 13:29:56.012535,Contact_user,6114,12394
50101,,2024-12-30 13:29:56.044219,Contact_user,5225,12394
50102,utilitaire grand volume,2024-12-30 13:29:56.07565,Search,5405,12394
50103,,2024-12-30 13:29:56.106649,Contact_user,5741,12394
50104,,2024-12-30 13:29:56.139347,Contact_user,5173,12395
50105,,2024-12-30 13:29:56.17081,Contact_user,5575,12395
50106,,2024-12-30 13:29:56.20248,Contact_user,6238,12395
50107,,2024-12-30 13:29:56.235221,Click_annonce,5129,12395
50108,,2024-12-30 13:29:56.267734,Click_annonce,4961,12396
50109,,2024-12-30 13:29:56.299843,Click_annonce,5131,12396
50110,quad,2024-12-30 13:29:56.331312,Search,4866,12396
50111,,2024-12-30 13:29:56.362146,Click_annonce,5128,12396
50112,,2024-12-30 13:29:56.39535,Click_annonce,5143,12396
50113,moto petit budget,2024-12-30 13:29:56.426769,Search,6070,12396
50114,voiture propre,2024-12-30 13:29:56.458774,Search,6246,12396
50115,van aménagé,2024-12-30 13:29:56.49058,Search,4854,12396
50116,,2024-12-30 13:29:56.524945,Click_annonce,5884,12396
50117,,2024-12-30 13:29:56.559544,Click_annonce,6309,12396
50118,voiture première main,2024-12-30 13:29:56.59111,Search,5325,12396
50119,,2024-12-30 13:29:56.62339,Contact_user,5863,12396
50120,,2024-12-30 13:29:56.664393,Click_annonce,5305,12396
50121,,2024-12-30 13:29:56.711833,Click_annonce,4871,12396
50122,,2024-12-30 13:29:56.749704,Click_annonce,5882,12396
50123,,2024-12-30 13:29:56.812754,Click_annonce,4911,12396
50124,,2024-12-30 13:29:56.84413,Click_annonce,5846,12396
50125,,2024-12-30 13:29:56.875787,Click_annonce,6031,12397
50126,,2024-12-30 13:29:56.90738,Contact_user,5244,12397
50127,,2024-12-30 13:29:56.93896,Click_annonce,5586,12397
50128,4x4 essence,2024-12-30 13:29:56.970532,Search,5564,12397
50129,,2024-12-30 13:29:57.002017,Contact_user,4972,12397
50130,,2024-12-30 13:29:57.066391,Click_annonce,6256,12397
