vehicle_id,category,climatisation,color,condition,created_at,description,fuel_type,gearbox,klm_counter,mark,model,type,updated_at,year
3547,SUV,Bonne état,Blanc,Neuf,2024-12-25 16:14:21.130124,et voluptas cumque illo odio sed qui fugit ipsam sunt placeat et facilis qui qui qui ut sed dolorem unde pariatur molestiae recusandae quod nihil quia maiores temporibus ipsum adipisci sed,Diesel,Manuel,142016,Volkswagen,Atlas,Voiture,2024-12-25 16:14:21.130127,1973
3548,Berline,Moyenne état,Bleu,Peu Endommagé,2024-12-25 16:14:21.617728,dolore quod illo perferendis et cum maiores esse voluptatum dignissimos eos sed maxime,Électrique,Semi-Automatique,114613,Ford,Bronco,Voiture,2024-12-25 16:14:21.617737,2005
3549,Standard,Non fonctionnel,Bleu,Neuf,2024-12-25 16:14:22.084366,sed voluptate laboriosam aut et et eligendi quaerat eius aut tempore dolores a libero provident iste qui velit suscipit aut itaque reiciendis molestias ea recusandae alias voluptatem et explicabo voluptatem voluptates facilis non impedit sed accusamus eos,Diesel,Manuel,83390,Ducati,XDiavel,Moto,2024-12-25 16:14:22.084376,2023
3550,Dual-Sport,Moyenne état,Blanc,Occasion,2024-12-25 16:14:22.553335,laudantium laboriosam voluptate veniam deleniti quisquam dolorem laborum ipsum iste natus optio aut earum sunt ipsum magni laboriosam illo eveniet soluta libero ipsa aliquam et dignissimos reprehenderit accusantium reiciendis rerum molestiae quo,Diesel,Automatique,106928,Kawasaki,Vulcan S,Moto,2024-12-25 16:14:22.553343,2001
3551,Utilitaire,Non fonctionnel,Blanc,Neuf,2024-12-25 16:14:23.014648,consequatur corrupti quasi voluptatem voluptatem omnis dolores eaque reprehenderit culpa et labore nulla sed assumenda rerum impedit error est commodi consectetur provident incidunt quae aspernatur quia autem temporibus molestiae recusandae accusamus ut sed quas placeat distinctio,Diesel,Manuel,60788,Nissan,Rogue,Voiture,2024-12-25 16:14:23.014656,2001
3552,Coupé,Très bonne état,Gris,Neuf,2024-12-25 16:14:23.482896,eos quia et ad aliquid quia sit quia rerum neque,Électrique,Semi-Automatique,104468,Honda,Passport,Voiture,2024-12-25 16:14:23.482904,1996
3553,Touring,Bonne état,Rose,Neuf,2024-12-25 16:14:23.942481,quo quo explicabo id repellendus reprehenderit quidem harum explicabo labore earum fugit reprehenderit blanditiis qui cupiditate nobis exercitationem quis iure dolore accusamus,Diesel,Automatique,146097,Harley-Davidson,Street,Moto,2024-12-25 16:14:23.942491,1985
3554,Touring,Non fonctionnel,Orange,Occasion,2024-12-25 16:14:24.41203,maiores quos animi perspiciatis id hic commodi sit quam illo voluptates deserunt consequatur et quia ex esse autem iure quisquam est qui quo optio repudiandae quam sed aut quibusdam doloremque,Diesel,Manuel,193351,KTM,500 EXC-F,Moto,2024-12-25 16:14:24.412033,2015
3555,Monospace,Non fonctionnel,Rouge,Occasion,2024-12-25 16:14:24.880651,suscipit quam cum minus quam qui necessitatibus sed maiores corporis eligendi quos maiores aut doloribus,Diesel,Manuel,152555,Audi,Q2,Voiture,2024-12-25 16:14:24.88066,1977
3556,Dual-Sport,Moyenne état,Noir,Neuf,2024-12-25 16:14:25.341973,natus et repellat dignissimos voluptates blanditiis et quos veniam et cum molestiae non dolores sequi distinctio quas eaque accusantium qui dolore nihil minima labore sed deleniti placeat tempore sapiente repudiandae expedita perspiciatis nam quia possimus,Diesel,Semi-Automatique,46003,Ducati,Multistrada,Moto,2024-12-25 16:14:25.34198,2001
3557,Roadster,Mauvaise état,Gris,Occasion,2024-12-25 16:14:25.802753,quibusdam voluptas atque dolores atque ab repellendus autem perferendis recusandae natus tempora rerum harum labore dolorum eius eligendi reiciendis est ab iure,Hybride,Semi-Automatique,102570,Volkswagen,Atlas,Voiture,2024-12-25 16:14:25.802762,1970
3558,Adventure,Bonne état,Gris,Neuf,2024-12-25 16:14:26.268485,tempora cum eius nemo quos nulla tempora quos occaecati fugiat cumque enim sapiente quis libero et eveniet quam consequatur provident culpa aut quaerat sit consequatur et autem voluptas aspernatur ut,Diesel,Manuel,51746,Yamaha,Bolt,Moto,2024-12-25 16:14:26.268493,1994
3559,Touring,Non fonctionnel,Noir,Peu Endommagé,2024-12-25 16:14:26.791201,dolore sit culpa quos natus dolorum ducimus illum magni repudiandae fugit culpa a aut non et eaque sit,Hybride,Semi-Automatique,100270,KTM,450 SX-F,Moto,2024-12-25 16:14:26.791209,2015
3560,Pick-up,Mauvaise état,Bleu,Neuf,2024-12-25 16:14:27.254857,ut qui amet dolorum quo ipsam dolor quia in rerum fugiat ullam similique eius sunt ipsum quidem temporibus rerum magnam itaque vel dolor aspernatur doloremque provident,Hybride,Semi-Automatique,53656,Audi,A4,Voiture,2024-12-25 16:14:27.254865,2013
3561,Berline,Moyenne état,Violet,Peu Endommagé,2024-12-25 16:14:28.065025,magni unde voluptate corporis in modi natus ea ipsa porro voluptatem et esse maiores natus delectus,Diesel,Semi-Automatique,165410,Chevrolet,Tahoe,Voiture,2024-12-25 16:14:28.065033,1995
3562,Scooter,Bonne état,Rouge,Neuf,2024-12-25 16:14:29.217846,distinctio libero voluptatum ducimus quidem aperiam eius sint dignissimos sit dolorem accusamus at nisi rerum labore occaecati in dolorem repudiandae sunt ratione laudantium architecto ut officiis sit libero dolores eius,Électrique,Automatique,115156,Yamaha,FJR1300,Moto,2024-12-25 16:14:29.217855,1974
3563,Break,Non fonctionnel,Blanc,Peu Endommagé,2024-12-25 16:14:30.470929,ea dolorem qui sit neque aut odit vero officia cum alias eaque id officiis nemo saepe accusantium quo illo perspiciatis,Essence,Semi-Automatique,74854,Volkswagen,Arteon,Voiture,2024-12-25 16:14:30.470939,1982
3564,Coupé,Mauvaise état,Rouge,Peu Endommagé,2024-12-25 16:14:31.138879,qui a est omnis commodi id debitis nesciunt et ut omnis voluptatibus et molestias non maiores quibusdam esse tenetur qui veritatis laudantium id nisi,Diesel,Semi-Automatique,67457,Toyota,Avalon,Voiture,2024-12-25 16:14:31.138888,1981
3565,Scooter,Non fonctionnel,Noir,Peu Endommagé,2024-12-25 16:14:31.595054,cupiditate corporis aliquid ipsa ut sunt excepturi architecto ipsa exercitationem maiores eos nemo illum amet eos architecto blanditiis ex similique deleniti laudantium in aut voluptatibus rem error et voluptas et,Essence,Manuel,140428,Ducati,Diavel,Moto,2024-12-25 16:14:31.595063,2021
3566,Crossover,Bonne état,Gris,Peu Endommagé,2024-12-25 16:14:32.057899,est quas hic placeat ea totam tempore eligendi minus quaerat ipsa blanditiis sint dignissimos optio facilis tempora est animi exercitationem debitis esse eum molestias voluptas reprehenderit voluptatibus similique est tenetur sit laborum ipsum asperiores deserunt beatae ut quidem voluptas,Essence,Semi-Automatique,178046,Volkswagen,Eos,Voiture,2024-12-25 16:14:32.057907,1974
3567,Chopper,Très bonne état,Noir,Neuf,2024-12-25 16:14:32.520232,quisquam est ut eum vel voluptatem aspernatur sit fugit placeat rerum vero possimus possimus sed eum id et dolorum reprehenderit in eos facere quas voluptatibus voluptas aut accusamus qui corrupti,Essence,Semi-Automatique,191116,KTM,450 SX-F,Moto,2024-12-25 16:14:32.520241,1981
3568,Sport,Bonne état,Orange,Peu Endommagé,2024-12-25 16:14:32.979831,officia omnis placeat illum voluptas est magni vel eum consectetur ut soluta a doloremque soluta quia et,Électrique,Manuel,130429,Yamaha,WR250R,Moto,2024-12-25 16:14:32.97984,1993
3569,Electric,Non fonctionnel,Gris,Peu Endommagé,2024-12-25 16:14:33.445466,tempore et est velit quia asperiores molestiae impedit dolor recusandae veniam praesentium voluptatem quo ut iusto voluptate dolorum doloribus itaque dolores omnis nulla delectus et et et et quidem nostrum incidunt accusamus dolorem voluptas adipisci laboriosam est,Diesel,Automatique,168925,Ducati,Panigale V4,Moto,2024-12-25 16:14:33.445475,1977
3570,Chopper,Non fonctionnel,Gris,Peu Endommagé,2024-12-25 16:14:33.902961,quia vero dolorem qui repudiandae temporibus officiis maiores fuga assumenda debitis velit iste omnis officiis consequatur porro in enim esse autem aperiam nemo iure alias dolor natus quia sunt ut quia labore eaque recusandae ad molestias et placeat quaerat,Hybride,Semi-Automatique,173589,Yamaha,MT-09,Moto,2024-12-25 16:14:33.90297,1978
